nohup: 入力を無視します
GPU name: NVIDIA GeForce RTX 3090, gpu_id: 0
cuda
{'nb_nodes': 20, 'bsz': 512, 'dim_emb': 128, 'dim_ff': 512, 'dim_input_nodes': 2, 'nb_layers_encoder': 6, 'nb_layers_decoder': 2, 'nb_heads': 8, 'nb_epochs': 10000, 'nb_batch_per_epoch': 2500, 'nb_batch_eval': 5, 'gpu_id': '0', 'lr': 0.0001, 'tol': 0.001, 'batchnorm': True, 'max_len_PE': 1000}
nb of nodes : 20
1
{'nb_nodes': 20, 'bsz': 512, 'dim_emb': 128, 'dim_ff': 512, 'dim_input_nodes': 2, 'nb_layers_encoder': 6, 'nb_layers_decoder': 2, 'nb_heads': 8, 'nb_epochs': 10000, 'nb_batch_per_epoch': 2500, 'nb_batch_eval': 5, 'gpu_id': '0', 'lr': 0.0001, 'tol': 0.001, 'batchnorm': True, 'max_len_PE': 1000}
mkdir: ディレクトリ `logs' を作成できません: ファイルが存在します

Epoch: 37, epoch time: 6.556min, tot time: 0.173day, L_train: 3.879, L_base: 3.881, L_test: 3.882, gap_train(%): -100.000, update: True
Epoch: 38, epoch time: 6.533min, tot time: 0.177day, L_train: 3.878, L_base: 3.879, L_test: 3.882, gap_train(%): -100.000, update: False
Epoch: 39, epoch time: 6.535min, tot time: 0.182day, L_train: 3.891, L_base: 3.890, L_test: 3.882, gap_train(%): -100.000, update: False
Epoch: 40, epoch time: 6.536min, tot time: 0.186day, L_train: 3.896, L_base: 3.895, L_test: 3.882, gap_train(%): -100.000, update: False
Epoch: 41, epoch time: 6.492min, tot time: 0.191day, L_train: 3.895, L_base: 3.897, L_test: 3.883, gap_train(%): -100.000, update: True
Epoch: 42, epoch time: 6.460min, tot time: 0.195day, L_train: 3.881, L_base: 3.880, L_test: 3.883, gap_train(%): -100.000, update: False
Epoch: 43, epoch time: 6.429min, tot time: 0.200day, L_train: 3.895, L_base: 3.898, L_test: 3.880, gap_train(%): -100.000, update: True
Epoch: 44, epoch time: 6.427min, tot time: 0.204day, L_train: 3.877, L_base: 3.879, L_test: 3.882, gap_train(%): -100.000, update: True
Epoch: 45, epoch time: 6.437min, tot time: 0.209day, L_train: 3.884, L_base: 3.883, L_test: 3.882, gap_train(%): -100.000, update: False
Epoch: 46, epoch time: 6.445min, tot time: 0.213day, L_train: 3.883, L_base: 3.883, L_test: 3.882, gap_train(%): -100.000, update: False
Epoch: 47, epoch time: 6.440min, tot time: 0.218day, L_train: 3.867, L_base: 3.868, L_test: 3.878, gap_train(%): -100.000, update: True
Epoch: 48, epoch time: 6.443min, tot time: 0.222day, L_train: 3.887, L_base: 3.887, L_test: 3.878, gap_train(%): -100.000, update: False
Epoch: 49, epoch time: 6.441min, tot time: 0.227day, L_train: 3.886, L_base: 3.886, L_test: 3.878, gap_train(%): -100.000, update: False
Epoch: 50, epoch time: 6.444min, tot time: 0.231day, L_train: 3.878, L_base: 3.879, L_test: 3.878, gap_train(%): -100.000, update: False
Epoch: 51, epoch time: 6.448min, tot time: 0.236day, L_train: 3.883, L_base: 3.882, L_test: 3.878, gap_train(%): -100.000, update: False
Epoch: 52, epoch time: 6.472min, tot time: 0.240day, L_train: 3.876, L_base: 3.875, L_test: 3.878, gap_train(%): -100.000, update: False
Epoch: 53, epoch time: 6.513min, tot time: 0.245day, L_train: 3.885, L_base: 3.886, L_test: 3.878, gap_train(%): -100.000, update: True
Epoch: 54, epoch time: 6.418min, tot time: 0.249day, L_train: 3.887, L_base: 3.885, L_test: 3.878, gap_train(%): -100.000, update: False
Epoch: 55, epoch time: 6.416min, tot time: 0.254day, L_train: 3.887, L_base: 3.889, L_test: 3.880, gap_train(%): -100.000, update: True
Epoch: 56, epoch time: 6.562min, tot time: 0.258day, L_train: 3.876, L_base: 3.878, L_test: 3.883, gap_train(%): -100.000, update: True
Epoch: 57, epoch time: 6.493min, tot time: 0.263day, L_train: 3.879, L_base: 3.879, L_test: 3.883, gap_train(%): -100.000, update: False
Epoch: 58, epoch time: 6.462min, tot time: 0.267day, L_train: 3.882, L_base: 3.884, L_test: 3.879, gap_train(%): -100.000, update: True
Epoch: 59, epoch time: 6.459min, tot time: 0.272day, L_train: 3.871, L_base: 3.874, L_test: 3.879, gap_train(%): -100.000, update: True
Epoch: 60, epoch time: 6.454min, tot time: 0.276day, L_train: 3.885, L_base: 3.883, L_test: 3.879, gap_train(%): -100.000, update: False
Epoch: 61, epoch time: 6.444min, tot time: 0.281day, L_train: 3.876, L_base: 3.875, L_test: 3.879, gap_train(%): -100.000, update: False
Epoch: 62, epoch time: 6.443min, tot time: 0.285day, L_train: 3.882, L_base: 3.885, L_test: 3.875, gap_train(%): -100.000, update: True
Epoch: 63, epoch time: 6.413min, tot time: 0.290day, L_train: 3.884, L_base: 3.883, L_test: 3.875, gap_train(%): -100.000, update: False
Epoch: 64, epoch time: 6.412min, tot time: 0.294day, L_train: 3.873, L_base: 3.874, L_test: 3.875, gap_train(%): -100.000, update: False
Epoch: 65, epoch time: 6.415min, tot time: 0.299day, L_train: 3.873, L_base: 3.873, L_test: 3.875, gap_train(%): -100.000, update: False
Epoch: 66, epoch time: 6.417min, tot time: 0.303day, L_train: 3.877, L_base: 3.877, L_test: 3.875, gap_train(%): -100.000, update: False
Epoch: 67, epoch time: 6.414min, tot time: 0.307day, L_train: 3.886, L_base: 3.884, L_test: 3.875, gap_train(%): -100.000, update: False
Epoch: 68, epoch time: 6.415min, tot time: 0.312day, L_train: 3.878, L_base: 3.876, L_test: 3.875, gap_train(%): -100.000, update: False
Epoch: 69, epoch time: 6.417min, tot time: 0.316day, L_train: 3.869, L_base: 3.870, L_test: 3.875, gap_train(%): -100.000, update: False
Epoch: 70, epoch time: 6.446min, tot time: 0.321day, L_train: 3.885, L_base: 3.882, L_test: 3.875, gap_train(%): -100.000, update: False
Epoch: 71, epoch time: 6.415min, tot time: 0.325day, L_train: 3.879, L_base: 3.879, L_test: 3.875, gap_train(%): -100.000, update: False
Epoch: 72, epoch time: 6.423min, tot time: 0.330day, L_train: 3.874, L_base: 3.875, L_test: 3.875, gap_train(%): -100.000, update: False
Epoch: 73, epoch time: 6.438min, tot time: 0.334day, L_train: 3.869, L_base: 3.869, L_test: 3.875, gap_train(%): -100.000, update: False
Epoch: 74, epoch time: 6.417min, tot time: 0.339day, L_train: 3.863, L_base: 3.863, L_test: 3.875, gap_train(%): -100.000, update: False
